long,lat,alt,gradient,speed,acceleration,time
0.13375,0.0,0.0,0.0,13.35,-5.0,0.01
0.267,0.0,0.0,0.0,13.3,-5.0,0.02
0.39975000000000005,0.0,0.0,0.0,13.25,-5.0,0.03
0.532,0.0,0.0,0.0,13.2,-5.0,0.04
0.6637500000000001,0.0,0.0,0.0,13.15,-5.0,0.05
0.795,0.0,0.0,0.0,13.1,-5.0,0.06
0.9257500000000001,0.0,0.0,0.0,13.05,-5.0,0.07
1.056,0.0,0.0,0.0,13.0,-5.0,0.08
1.18575,0.0,0.0,0.0,12.95,-5.0,0.09
1.3150000000000002,0.0,0.0,0.0,12.9,-5.0,0.1
1.44375,0.0,0.0,0.0,12.85,-5.0,0.11
1.572,0.0,0.0,0.0,12.8,-5.0,0.12
1.69975,0.0,0.0,0.0,12.75,-5.0,0.13
1.8270000000000002,0.0,0.0,0.0,12.7,-5.0,0.14
1.95375,0.0,0.0,0.0,12.65,-5.0,0.15
2.08,0.0,0.0,0.0,12.6,-5.0,0.16
2.20575,0.0,0.0,0.0,12.55,-5.0,0.17
2.331,0.0,0.0,0.0,12.5,-5.0,0.18
2.45575,0.0,0.0,0.0,12.45,-5.0,0.19
2.58,0.0,0.0,0.0,12.4,-5.0,0.2
2.70375,0.0,0.0,0.0,12.35,-5.0,0.21
2.827,0.0,0.0,0.0,12.3,-5.0,0.22
2.94975,0.0,0.0,0.0,12.25,-5.0,0.23
3.072,0.0,0.0,0.0,12.2,-5.0,0.24
3.19375,0.0,0.0,0.0,12.15,-5.0,0.25
3.315,0.0,0.0,0.0,12.1,-5.0,0.26
3.43575,0.0,0.0,0.0,12.05,-5.0,0.27
3.556,0.0,0.0,0.0,12.0,-5.0,0.28
3.67575,0.0,0.0,0.0,11.95,-5.0,0.29
3.795,0.0,0.0,0.0,11.9,-5.0,0.3
3.91375,0.0,0.0,0.0,11.85,-5.0,0.31
4.032,0.0,0.0,0.0,11.8,-5.0,0.32
4.14975,0.0,0.0,0.0,11.75,-5.0,0.33
4.267,0.0,0.0,0.0,11.7,-5.0,0.34
4.38375,0.0,0.0,0.0,11.65,-5.0,0.35
4.5,0.0,0.0,0.0,11.6,-5.0,0.36
4.61575,0.0,0.0,0.0,11.55,-5.0,0.37
4.731,0.0,0.0,0.0,11.5,-5.0,0.38
4.84575,0.0,0.0,0.0,11.45,-5.0,0.39
4.96,0.0,0.0,0.0,11.4,-5.0,0.4
5.0737499999999995,0.0,0.0,0.0,11.35,-5.0,0.41
5.186999999999999,0.0,0.0,0.0,11.3,-5.0,0.42
5.2997499999999995,0.0,0.0,0.0,11.25,-5.0,0.43
5.412,0.0,0.0,0.0,11.2,-5.0,0.44
5.52375,0.0,0.0,0.0,11.15,-5.0,0.45
5.635,0.0,0.0,0.0,11.1,-5.0,0.46
5.74575,0.0,0.0,0.0,11.05,-5.0,0.47
5.856,0.0,0.0,0.0,11.0,-5.0,0.48
5.96575,0.0,0.0,0.0,10.95,-5.0,0.49
6.075,0.0,0.0,0.0,10.9,-5.0,0.5
6.18375,0.0,0.0,0.0,10.85,-5.0,0.51
6.292,0.0,0.0,0.0,10.8,-5.0,0.52
6.39975,0.0,0.0,0.0,10.75,-5.0,0.53
6.507,0.0,0.0,0.0,10.7,-5.0,0.54
6.61375,0.0,0.0,0.0,10.65,-5.0,0.55
6.72,0.0,0.0,0.0,10.6,-5.0,0.56
6.825749999999999,0.0,0.0,0.0,10.55,-5.0,0.57
6.930999999999999,0.0,0.0,0.0,10.5,-5.0,0.58
7.035749999999999,0.0,0.0,0.0,10.45,-5.0,0.59
7.14,0.0,0.0,0.0,10.4,-5.0,0.6
7.2437499999999995,0.0,0.0,0.0,10.35,-5.0,0.61
7.3469999999999995,0.0,0.0,0.0,10.3,-5.0,0.62
7.44975,0.0,0.0,0.0,10.25,-5.0,0.63
7.552,0.0,0.0,0.0,10.2,-5.0,0.64
7.65375,0.0,0.0,0.0,10.15,-5.0,0.65
7.755,0.0,0.0,0.0,10.1,-5.0,0.66
7.85575,0.0,0.0,0.0,10.05,-5.0,0.67
7.9559999999999995,0.0,0.0,0.0,10.0,-5.0,0.68
8.05575,0.0,0.0,0.0,9.95,-5.0,0.69
8.155,0.0,0.0,0.0,9.9,-5.0,0.7
8.25375,0.0,0.0,0.0,9.85,-5.0,0.71
8.352,0.0,0.0,0.0,9.8,-5.0,0.72
8.44975,0.0,0.0,0.0,9.75,-5.0,0.73
8.547,0.0,0.0,0.0,9.7,-5.0,0.74
8.64375,0.0,0.0,0.0,9.65,-5.0,0.75
8.74,0.0,0.0,0.0,9.6,-5.0,0.76
8.83575,0.0,0.0,0.0,9.55,-5.0,0.77
8.931000000000001,0.0,0.0,0.0,9.5,-5.0,0.78
9.02575,0.0,0.0,0.0,9.45,-5.0,0.79
9.120000000000001,0.0,0.0,0.0,9.4,-5.0,0.8
9.213750000000001,0.0,0.0,0.0,9.35,-5.0,0.81
9.307,0.0,0.0,0.0,9.3,-5.0,0.82
9.399750000000001,0.0,0.0,0.0,9.25,-5.0,0.83
9.492,0.0,0.0,0.0,9.2,-5.0,0.84
9.58375,0.0,0.0,0.0,9.15,-5.0,0.85
9.675,0.0,0.0,0.0,9.1,-5.0,0.86
9.76575,0.0,0.0,0.0,9.05,-5.0,0.87
9.856,0.0,0.0,0.0,9.0,-5.0,0.88
9.94575,0.0,0.0,0.0,8.95,-5.0,0.89
10.035,0.0,0.0,0.0,8.9,-5.0,0.9
10.12375,0.0,0.0,0.0,8.85,-5.0,0.91
10.212,0.0,0.0,0.0,8.8,-5.0,0.92
10.29975,0.0,0.0,0.0,8.75,-5.0,0.93
10.386999999999999,0.0,0.0,0.0,8.7,-5.0,0.94
10.473749999999999,0.0,0.0,0.0,8.65,-5.0,0.95
10.559999999999999,0.0,0.0,0.0,8.6,-5.0,0.96
10.64575,0.0,0.0,0.0,8.55,-5.0,0.97
10.731,0.0,0.0,0.0,8.5,-5.0,0.98
10.81575,0.0,0.0,0.0,8.45,-5.0,0.99
10.9,0.0,0.0,0.0,8.4,-5.0,1.0
10.98375,0.0,0.0,0.0,8.35,-5.0,1.01
11.067,0.0,0.0,0.0,8.3,-5.0,1.02
11.149750000000001,0.0,0.0,0.0,8.25,-5.0,1.03
11.232000000000001,0.0,0.0,0.0,8.2,-5.0,1.04
11.31375,0.0,0.0,0.0,8.15,-5.0,1.05
11.395000000000001,0.0,0.0,0.0,8.1,-5.0,1.06
11.475750000000001,0.0,0.0,0.0,8.05,-5.0,1.07
11.556000000000001,0.0,0.0,0.0,8.0,-5.0,1.08
11.635750000000002,0.0,0.0,0.0,7.95,-5.0,1.09
