long,lat,alt,gradient,speed,acceleration,time
0.31275000000000003,0.0,0.0,0.0,31.25,-5.0,0.01
0.625,0.0,0.0,0.0,31.2,-5.0,0.02
0.93675,0.0,0.0,0.0,31.15,-5.0,0.03
1.248,0.0,0.0,0.0,31.1,-5.0,0.04
1.55875,0.0,0.0,0.0,31.05,-5.0,0.05
1.8690000000000002,0.0,0.0,0.0,31.0,-5.0,0.06
2.1787500000000004,0.0,0.0,0.0,30.95,-5.0,0.07
2.4880000000000004,0.0,0.0,0.0,30.9,-5.0,0.08
2.7967500000000003,0.0,0.0,0.0,30.85,-5.0,0.09
3.1050000000000004,0.0,0.0,0.0,30.8,-5.0,0.1
3.4127500000000004,0.0,0.0,0.0,30.75,-5.0,0.11
3.7200000000000006,0.0,0.0,0.0,30.7,-5.0,0.12
4.026750000000001,0.0,0.0,0.0,30.65,-5.0,0.13
4.333000000000001,0.0,0.0,0.0,30.6,-5.0,0.14
4.638750000000001,0.0,0.0,0.0,30.55,-5.0,0.15
4.944000000000001,0.0,0.0,0.0,30.5,-5.0,0.16
5.248750000000001,0.0,0.0,0.0,30.45,-5.0,0.17
5.553000000000001,0.0,0.0,0.0,30.4,-5.0,0.18
5.856750000000001,0.0,0.0,0.0,30.35,-5.0,0.19
6.160000000000001,0.0,0.0,0.0,30.3,-5.0,0.2
6.462750000000001,0.0,0.0,0.0,30.25,-5.0,0.21
6.765000000000001,0.0,0.0,0.0,30.2,-5.0,0.22
7.066750000000001,0.0,0.0,0.0,30.15,-5.0,0.23
7.368,0.0,0.0,0.0,30.1,-5.0,0.24
7.66875,0.0,0.0,0.0,30.05,-5.0,0.25
7.969,0.0,0.0,0.0,30.0,-5.0,0.26
8.26875,0.0,0.0,0.0,29.95,-5.0,0.27
8.568000000000001,0.0,0.0,0.0,29.9,-5.0,0.28
8.866750000000001,0.0,0.0,0.0,29.85,-5.0,0.29
9.165000000000001,0.0,0.0,0.0,29.8,-5.0,0.3
9.462750000000002,0.0,0.0,0.0,29.75,-5.0,0.31
9.760000000000002,0.0,0.0,0.0,29.7,-5.0,0.32
10.056750000000001,0.0,0.0,0.0,29.65,-5.0,0.33
10.353000000000002,0.0,0.0,0.0,29.6,-5.0,0.34
10.648750000000001,0.0,0.0,0.0,29.55,-5.0,0.35
10.944,0.0,0.0,0.0,29.5,-5.0,0.36
11.238750000000001,0.0,0.0,0.0,29.45,-5.0,0.37
11.533000000000001,0.0,0.0,0.0,29.4,-5.0,0.38
11.82675,0.0,0.0,0.0,29.35,-5.0,0.39
12.120000000000001,0.0,0.0,0.0,29.3,-5.0,0.4
12.41275,0.0,0.0,0.0,29.25,-5.0,0.41
12.705,0.0,0.0,0.0,29.2,-5.0,0.42
12.99675,0.0,0.0,0.0,29.15,-5.0,0.43
13.288,0.0,0.0,0.0,29.1,-5.0,0.44
13.57875,0.0,0.0,0.0,29.05,-5.0,0.45
13.869,0.0,0.0,0.0,29.0,-5.0,0.46
14.15875,0.0,0.0,0.0,28.95,-5.0,0.47
14.448,0.0,0.0,0.0,28.9,-5.0,0.48
14.73675,0.0,0.0,0.0,28.85,-5.0,0.49
15.025,0.0,0.0,0.0,28.8,-5.0,0.5
15.312750000000001,0.0,0.0,0.0,28.75,-5.0,0.51
15.600000000000001,0.0,0.0,0.0,28.7,-5.0,0.52
15.886750000000001,0.0,0.0,0.0,28.65,-5.0,0.53
16.173000000000002,0.0,0.0,0.0,28.6,-5.0,0.54
16.458750000000002,0.0,0.0,0.0,28.55,-5.0,0.55
16.744000000000003,0.0,0.0,0.0,28.5,-5.0,0.56
17.028750000000002,0.0,0.0,0.0,28.45,-5.0,0.57
17.313000000000002,0.0,0.0,0.0,28.4,-5.0,0.58
17.596750000000004,0.0,0.0,0.0,28.35,-5.0,0.59
17.880000000000003,0.0,0.0,0.0,28.3,-5.0,0.6
18.162750000000003,0.0,0.0,0.0,28.25,-5.0,0.61
18.445000000000004,0.0,0.0,0.0,28.2,-5.0,0.62
18.726750000000003,0.0,0.0,0.0,28.15,-5.0,0.63
19.008000000000003,0.0,0.0,0.0,28.1,-5.0,0.64
19.288750000000004,0.0,0.0,0.0,28.05,-5.0,0.65
19.569000000000003,0.0,0.0,0.0,28.0,-5.0,0.66
19.848750000000003,0.0,0.0,0.0,27.95,-5.0,0.67
20.128000000000004,0.0,0.0,0.0,27.9,-5.0,0.68
20.406750000000002,0.0,0.0,0.0,27.85,-5.0,0.69
20.685000000000002,0.0,0.0,0.0,27.8,-5.0,0.7
20.962750000000003,0.0,0.0,0.0,27.75,-5.0,0.71
21.240000000000002,0.0,0.0,0.0,27.7,-5.0,0.72
21.516750000000002,0.0,0.0,0.0,27.65,-5.0,0.73
21.793000000000003,0.0,0.0,0.0,27.6,-5.0,0.74
22.06875,0.0,0.0,0.0,27.55,-5.0,0.75
22.344,0.0,0.0,0.0,27.5,-5.0,0.76
22.618750000000002,0.0,0.0,0.0,27.45,-5.0,0.77
22.893,0.0,0.0,0.0,27.4,-5.0,0.78
23.16675,0.0,0.0,0.0,27.35,-5.0,0.79
23.44,0.0,0.0,0.0,27.3,-5.0,0.8
23.71275,0.0,0.0,0.0,27.25,-5.0,0.81
23.985,0.0,0.0,0.0,27.2,-5.0,0.82
24.25675,0.0,0.0,0.0,27.15,-5.0,0.83
24.528,0.0,0.0,0.0,27.1,-5.0,0.84
24.79875,0.0,0.0,0.0,27.05,-5.0,0.85
25.069,0.0,0.0,0.0,27.0,-5.0,0.86
25.338749999999997,0.0,0.0,0.0,26.95,-5.0,0.87
25.607999999999997,0.0,0.0,0.0,26.9,-5.0,0.88
25.876749999999998,0.0,0.0,0.0,26.85,-5.0,0.89
26.144999999999996,0.0,0.0,0.0,26.8,-5.0,0.9
26.412749999999996,0.0,0.0,0.0,26.75,-5.0,0.91
26.679999999999996,0.0,0.0,0.0,26.7,-5.0,0.92
26.946749999999994,0.0,0.0,0.0,26.65,-5.0,0.93
27.212999999999994,0.0,0.0,0.0,26.6,-5.0,0.94
27.478749999999994,0.0,0.0,0.0,26.55,-5.0,0.95
27.743999999999996,0.0,0.0,0.0,26.5,-5.0,0.96
28.008749999999996,0.0,0.0,0.0,26.45,-5.0,0.97
28.272999999999996,0.0,0.0,0.0,26.4,-5.0,0.98
28.536749999999998,0.0,0.0,0.0,26.35,-5.0,0.99
28.799999999999997,0.0,0.0,0.0,26.3,-5.0,1.0
29.062749999999998,0.0,0.0,0.0,26.25,-5.0,1.01
29.325,0.0,0.0,0.0,26.2,-5.0,1.02
29.58675,0.0,0.0,0.0,26.15,-5.0,1.03
29.848,0.0,0.0,0.0,26.1,-5.0,1.04
30.10875,0.0,0.0,0.0,26.05,-5.0,1.05
30.369,0.0,0.0,0.0,26.0,-5.0,1.06
30.62875,0.0,0.0,0.0,25.95,-5.0,1.07
30.888,0.0,0.0,0.0,25.9,-5.0,1.08
31.14675,0.0,0.0,0.0,25.85,-5.0,1.09
31.405,0.0,0.0,0.0,25.8,-5.0,1.1
31.662750000000003,0.0,0.0,0.0,25.75,-5.0,1.11
31.92,0.0,0.0,0.0,25.7,-5.0,1.12
32.17675,0.0,0.0,0.0,25.65,-5.0,1.13
32.433,0.0,0.0,0.0,25.6,-5.0,1.14
32.68875,0.0,0.0,0.0,25.55,-5.0,1.15
32.943999999999996,0.0,0.0,0.0,25.5,-5.0,1.16
33.19875,0.0,0.0,0.0,25.45,-5.0,1.17
33.452999999999996,0.0,0.0,0.0,25.4,-5.0,1.18
33.70674999999999,0.0,0.0,0.0,25.35,-5.0,1.19
33.959999999999994,0.0,0.0,0.0,25.3,-5.0,1.2
34.21274999999999,0.0,0.0,0.0,25.25,-5.0,1.21
34.46499999999999,0.0,0.0,0.0,25.2,-5.0,1.22
34.71674999999999,0.0,0.0,0.0,25.15,-5.0,1.23
34.96799999999999,0.0,0.0,0.0,25.1,-5.0,1.24
35.218749999999986,0.0,0.0,0.0,25.05,-5.0,1.25
35.46899999999999,0.0,0.0,0.0,25.0,-5.0,1.26
35.718749999999986,0.0,0.0,0.0,24.95,-5.0,1.27
35.96799999999999,0.0,0.0,0.0,24.9,-5.0,1.28
36.21674999999999,0.0,0.0,0.0,24.85,-5.0,1.29
36.46499999999999,0.0,0.0,0.0,24.8,-5.0,1.3
36.71274999999999,0.0,0.0,0.0,24.75,-5.0,1.31
36.959999999999994,0.0,0.0,0.0,24.7,-5.0,1.32
37.20674999999999,0.0,0.0,0.0,24.65,-5.0,1.33
37.452999999999996,0.0,0.0,0.0,24.6,-5.0,1.34
37.69875,0.0,0.0,0.0,24.55,-5.0,1.35
37.943999999999996,0.0,0.0,0.0,24.5,-5.0,1.36
38.18875,0.0,0.0,0.0,24.45,-5.0,1.37
38.433,0.0,0.0,0.0,24.4,-5.0,1.38
38.67675,0.0,0.0,0.0,24.35,-5.0,1.39
38.92,0.0,0.0,0.0,24.3,-5.0,1.4
39.16275,0.0,0.0,0.0,24.25,-5.0,1.41
39.405,0.0,0.0,0.0,24.2,-5.0,1.42
39.646750000000004,0.0,0.0,0.0,24.15,-5.0,1.43
39.888000000000005,0.0,0.0,0.0,24.1,-5.0,1.44
40.128750000000004,0.0,0.0,0.0,24.05,-5.0,1.45
